City,nYears,YearMin,YearMax,Slope_TopNDVI,Slope_BotNDVI,Slope_GapNDVI,Slope_TopLST,Slope_BotLST,Slope_GapLST,Delta_GapNDVI,Delta_GapLST,Span_Decades,NDVI_Balance,NDVI_Mechanism,LME_DeltaSlope_NDVI,LME_CI_L_NDVI,LME_CI_U_NDVI,LME_DeltaSlope_LST,LME_CI_L_LST,LME_CI_U_LST
LouisvilleKY,5,1990,2023,-0.000139253449920053,0.0233764401353312,-0.0235156935852513,1.41135976855064,0.775860302833704,-0.635499465716935,-0.0776017888313292,-2.09714823686589,3.3,0.0232371866854112,uplift (bottom-tail greening),0.0096970817814739,0.00409889983057179,0.015295263732376,0.201351422184751,0.00624087002715878,0.396461974342344
LubbockTXuse,5,1990,2023,0.0147672475213143,0.00373525720854491,0.0110319903127694,2.50255653079797,2.14029957670754,-0.362256954090427,0.0364055680321391,-1.19544794849841,3.3,-0.0110319903127694,erosion (top-tail decline),-0.0144729577740846,-0.0200711397249867,-0.00887477582318252,0.445290233760221,0.250179681602628,0.640400785917813
Manchester,5,1990,2023,0.0207980242360379,0.00856146821215318,0.0122365560238848,1.29853775904461,1.82608746048472,0.527549701440108,0.0403806348788197,1.74091401475236,3.3,-0.0122365560238848,erosion (top-tail decline),0.036134758339802,0.0305365763888999,0.0417329402907041,0.0995346910567729,-0.0955758611008196,0.294645243214365
Memphis,4,1990,2023,0.020542934008249,0.0186410873640795,0.00190184664416946,0.0982638607674057,-0.0190416010498718,-0.117305461817277,0.00627609392575922,-0.387108023997016,3.3,-0.00190184664416946,erosion (top-tail decline),0.0020143618617665,-0.00358382008913561,0.00761254381266861,0.335365492378132,0.14025494022054,0.530476044535725
Miami,5,1990,2023,0.00638140106254724,0.0192948407804617,-0.0129134397179145,1.61967845967567,2.19397017445818,0.574291714782506,-0.0426143510691178,1.89516265878227,3.3,0.0129134397179145,uplift (bottom-tail greening),-0.00548460559740336,-0.0110827875483055,0.000113576353498749,0.342777466390302,0.14766691423271,0.537888018547895
Milwaukee,5,1990,2023,0.00546096764697261,0.0159265986364896,-0.010465630989517,0.488820064948177,0.0699787070574613,-0.418841357890715,-0.034536582265406,-1.38217648103936,3.3,0.010465630989517,uplift (bottom-tail greening),0.00424338431288917,-0.00135479763801293,0.00984156626379128,0.162793871645326,-0.0323166805122662,0.357904423802919
Missoula,5,1990,2023,-0.0114519889357218,0.000681388303477368,-0.0121333772391991,2.28679978925184,1.53928253424658,-0.747517255005267,-0.0400401448893572,-2.46680694151738,3.3,-0.0107706006322444,erosion (top-tail decline),-0.0106942552520981,-0.0162924372030002,-0.00509607330119598,0.0745248055104807,-0.120585746647112,0.269635357668073
NYC_BOUNDS,5,1990,2023,-0.0503320553530205,-0.0334787058038113,-0.0168533495492092,-0.0881409696453704,-0.786216549931918,-0.698075580286548,-0.0556160535123902,-2.30364941494561,3.3,-0.0168533495492092,erosion (top-tail decline),-0.0310561622795965,-0.0366543442304986,-0.0254579803286944,0.327429890473419,0.132319338315826,0.522540442631011
Nashville,4,1990,2023,0.0130621859767529,-0.00463289276340456,0.0176950787401574,1.26088188976378,1.37821372328459,0.117331833520812,0.0583937598425196,0.38719505061868,3.3,-0.00842929321334832,erosion (top-tail decline),0.0109888939070486,0.00539071195614654,0.0165870758579508,0.199455121801179,0.00434456964358687,0.394565673958772
NewOrleans,5,1990,2023,-0.0212868196972734,0.0102275617872852,-0.0315143814845587,0.744693292374678,0.0240112058346125,-0.720682086540065,-0.103997458899044,-2.37825088558222,3.3,-0.0110592579099882,erosion (top-tail decline),-0.0197774173713343,-0.0253755993222364,-0.0141792354204322,0.578684924181067,0.383574372023474,0.773795476338659
NorfolkVA,5,1990,2023,0.0182265971541436,0.010813273386692,0.00741332376745157,1.43707275045483,1.22581518500647,-0.211257565448359,0.0244639684325902,-0.697149965979586,3.3,-0.00741332376745157,erosion (top-tail decline),-0.0133995069726729,-0.018997688923575,-0.00780132502177081,0.246145666626651,0.051035114469059,0.441256218784244
OklahomaCity,5,1990,2023,-0.00235619419223248,0.00732631653621737,-0.00968251072844984,1.55788505998784,1.32640064668287,-0.231484413304973,-0.0319522854038845,-0.763898563906411,3.3,0.00497012234398489,uplift (bottom-tail greening),-0.0359987759768712,-0.0415969579277733,-0.0304005940259691,0.446347103955352,0.25123655179776,0.641457656112945
Omaha,5,1990,2023,0.0174286535205466,0.0196502154582546,-0.00222156193770795,1.30800286151025,1.25555477762083,-0.0524480838894228,-0.00733115439443623,-0.173078676835095,3.3,0.00222156193770795,uplift (bottom-tail greening),-0.0176672210973959,-0.023265403048298,-0.0120690391464938,0.187150089661758,-0.00796046249583426,0.382260641819351
Pensacola,5,1990,2023,0.016162048992674,0.0218693189572984,-0.00570726996462445,1.68273932052536,1.19200007338553,-0.490739247139835,-0.0188339908832607,-1.61943951556146,3.3,0.00570726996462445,uplift (bottom-tail greening),-0.0177944706781477,-0.0233926526290498,-0.0121962887272456,0.321116126626107,0.126005574468514,0.516226678783699
Philadelphia,5,1990,2023,-0.0649244104545442,-0.0152122779082314,-0.0497121325463128,0.719608549486526,-0.148875524774574,-0.868484074261099,-0.164050037402832,-2.86599744506163,3.3,-0.0497121325463128,erosion (top-tail decline),-0.0233634307263624,-0.0289616126772645,-0.0177652487754603,0.308880386205802,0.11376983404821,0.503990938363394
Phoenix,5,1990,2023,-0.0107130158951841,-0.0119403894271407,0.00122737353195665,2.04357800550143,2.10162620452246,0.0580481990210266,0.00405033265545694,0.191559056769388,3.3,0.00122737353195665,uplift (bottom-tail greening),-0.0196413167220472,-0.0252394986729493,-0.0140431347711451,0.771371470943635,0.576260918786043,0.966482023101227
PittsburghPA,5,1990,2023,-0.0359906507752885,0.0108199942829049,-0.0468106450581934,1.10510580396095,0.0860776848712703,-1.01902811908968,-0.154475128692038,-3.36279279299595,3.3,-0.0251706564923836,erosion (top-tail decline),-0.0452045830455256,-0.0508027649964277,-0.0396064010946235,0.21152159594005,0.016411043782458,0.406632148097643
PortlandME,5,1990,2023,-0.00609679926238142,0.00726181506849318,-0.0133586143308746,0.761712328767128,0.875952976817703,0.114240648050576,-0.0440834272918862,0.3769941385669,3.3,0.00116501580611176,uplift (bottom-tail greening),0.0413185477678509,0.0357203658169488,0.046916729718753,0.0783184008958288,-0.116792151261764,0.273428953053421
PortlandOR,5,1990,2023,-0.000360990587269864,0.00813701512041999,-0.00849800570768985,1.62879559719192,1.33469861679697,-0.294096980394956,-0.0280434188353765,-0.970520035303356,3.3,0.00777602453315013,uplift (bottom-tail greening),-0.0075124067611013,-0.0131105887120034,-0.00191422481019919,0.158819927599265,-0.0362906245583279,0.353930479756857
ProvidenceRI,5,1990,2023,-0.0195329853793466,0.00880138397561347,-0.0283343693549601,1.93422207586934,1.31088440369562,-0.623337672173715,-0.0935034188713683,-2.05701431817326,3.3,-0.0107316014037331,erosion (top-tail decline),-0.00405675646643206,-0.00965493841733417,0.00154142548447004,0.109827402755828,-0.0852831494017646,0.30493795491342
Raleigh,5,1990,2023,-0.0132672918861959,0.0134601062521953,-0.0267273981383912,1.54648639796278,0.685745987003864,-0.860740410958911,-0.088200413856691,-2.84044335616441,3.3,0.000192814365999444,both,0.000980861156336566,-0.00461732079456554,0.00657904310723868,0.188948454385651,-0.00616209777194165,0.384059006543243
Reno,5,1990,2023,0.00453343212153148,-0.00727463119072708,0.0118080633122586,1.62529814278188,1.42696311907272,-0.198335023709162,0.0389666089304532,-0.654505578240236,3.3,0.0027411990691956,uplift (bottom-tail greening),0.00715413378913296,0.00155595183823085,0.0127523157400351,0.434374923669026,0.239264371511434,0.629485475826619
Riverside,5,1990,2023,0.00857260800842998,-0.00374971548998942,0.0123223234984194,1.8667272918862,2.02532939936776,0.158602107481561,0.040663667544784,0.523386954689152,3.3,-0.00482289251844055,erosion (top-tail decline),-0.0124448276879392,-0.0180430096388414,-0.00684664573703714,0.460949223336031,0.265838671178438,0.656059775493623
Sacramento,5,1990,2023,-4.70373285632921e-05,-0.0089828192907597,0.00893578196219641,1.44666128841891,1.84175531023613,0.395094021817221,0.0294880804752481,1.30381027199683,3.3,0.00893578196219641,uplift (bottom-tail greening),-0.00716496573719356,-0.0127631476880957,-0.00156678378629145,0.306213006330182,0.111102454172589,0.501323558487774
SaltLakeCity,5,1990,2023,0.00104250722165141,-0.00369755728633749,0.0047400645079889,2.11361992430374,1.78692678795958,-0.326693136344164,0.0156422128763634,-1.07808734993574,3.3,0.00265505006468608,uplift (bottom-tail greening),0.00556425475608352,-3.3927194818587e-05,0.0111624367069856,0.217846080058156,0.022735527900563,0.412956632215748
SanAntonio,5,1990,2023,-0.00583240043257167,-0.000507485010695614,-0.00532491542187605,1.71380432920738,1.2377875774632,-0.476016751744171,-0.017572220892191,-1.57085528075576,3.3,-0.00532491542187605,erosion (top-tail decline),-0.0198663519350068,-0.0254645338859089,-0.0142681699841047,0.614865930746969,0.419755378589377,0.809976482904562
SanDiego,5,1990,2023,-0.00387084372961507,-0.000762896723995187,-0.00310794700561989,1.79869470043655,1.88240168811782,0.0837069876812702,-0.0102562251185456,0.276233059348192,3.3,-0.00310794700561989,erosion (top-tail decline),-0.00740856560523153,-0.0130067475561336,-0.00181038365432942,0.365129248020165,0.170018695862573,0.560239800177758
SanFrancisco,5,1990,2023,-0.0216692187017212,-0.0074702240333944,-0.0141989946683268,0.508459979031407,-0.431620948726275,-0.940080927757682,-0.0468566824054784,-3.10226706160035,3.3,-0.0141989946683268,erosion (top-tail decline),-0.0132427326982984,-0.0188409146492005,-0.00764455074739628,0.359803917732935,0.164693365575342,0.554914469890527
SantaFeNM,5,1990,2023,-0.00928606427818756,-0.0148189673340358,0.00553290305584827,1.59907086406744,1.957958113804,0.358887249736559,0.0182585800842993,1.18432792413065,3.3,0.00553290305584827,uplift (bottom-tail greening),-0.0371163651316134,-0.0427145470825155,-0.0315181831807113,0.313124898560263,0.11801434640267,0.508235450717855
SavannahGA,5,1990,2023,-0.00568820798208635,0.0279198291434593,-0.0336080371255457,0.962545000376341,0.236898469253353,-0.725646531122988,-0.110906522514301,-2.39463355270586,3.3,0.022231621161373,uplift (bottom-tail greening),-0.0185730882535018,-0.0241712702044039,-0.0129749063025997,0.362826682820935,0.167716130663342,0.557937234978527
SeattleWA,5,1990,2023,-0.00413014797392398,0.00885760848616344,-0.0129877564600874,1.12394011913613,1.17371487005773,0.0497747509216027,-0.0428595963182885,0.164256678041289,3.3,0.00472746051223946,uplift (bottom-tail greening),0.00869617334241294,0.00309799139151084,0.0142943552933151,0.0627141408382428,-0.13239641131935,0.257824692995835
ShreveportLA,5,1990,2023,0.00437077332865006,0.0185229276431332,-0.0141521543144831,2.00567436482848,1.52290118253132,-0.482773182297155,-0.0467021092377942,-1.59315150158061,3.3,0.0141521543144831,uplift (bottom-tail greening),-0.0120042470649824,-0.0176024290158845,-0.00640606511408029,0.303577742087638,0.108467189930045,0.49868829424523
SiouxFalls,5,1990,2023,0.0082645591851072,-0.00323242887249733,0.0114969880576045,0.673302160168603,0.986970846505094,0.313668686336492,0.0379400605900949,1.03510666491042,3.3,-0.00503213031260987,erosion (top-tail decline),0.0155901878060492,0.00999200585514714,0.0211883697569514,0.12105715139671,-0.0740534007608822,0.316167703554303
Spokane,5,1990,2023,0.0101515493704574,0.00338752330388267,0.00676402606657478,2.11597558664992,2.0141849517711,-0.101790634878819,0.0223212860196968,-0.335909095100103,3.3,-0.00676402606657478,erosion (top-tail decline),0.013006465998144,0.00740828404724191,0.0186046479490461,0.113224570714733,-0.0818859814428597,0.308335122872325
StLouis,5,1990,2023,-0.0119685273064205,0.0283207982086407,-0.0402893255150612,1.21031719414265,0.42673136150576,-0.783585832636892,-0.132954774199702,-2.58583324770174,3.3,0.0163522709022202,uplift (bottom-tail greening),-0.0248705628082827,-0.0304687447591848,-0.0192723808573806,0.280218947828599,0.0851083956710068,0.475329499986192
Syracuse,5,1990,2023,0.00414008477823554,0.0241179425711275,-0.0199778577928919,0.938502633154517,0.325891277900187,-0.61261135525433,-0.0659269307165434,-2.02161747233929,3.3,0.0199778577928919,uplift (bottom-tail greening),0.00685218568647386,0.00125400373557175,0.012450367637376,0.167682671004281,-0.0274278811533115,0.362793223161873
Tacoma,5,1990,2023,0.000528069678609142,0.00789857547418337,-0.00737050579557423,1.54963213250791,1.33671880268704,-0.212913329820864,-0.024322669125395,-0.702613988408851,3.3,0.00737050579557423,uplift (bottom-tail greening),0.00413478275397018,-0.00146339919693193,0.00973296470487229,0.111022302894845,-0.0840882492627475,0.306132855052437
Tallahassee,5,1990,2023,0.000148452318229786,0.0243884110467159,-0.0242399587284861,1.96323676238146,1.37968418510714,-0.583552577274322,-0.079991863804004,-1.92572350500526,3.3,0.0242399587284861,uplift (bottom-tail greening),-0.00651396170191635,-0.0121121436528185,-0.000915779751014242,0.265488584342875,0.0703780321852829,0.460599136500468
ThousandOaks,5,1990,2023,0.0056377502634352,0.00321367228661749,0.00242407797681771,2.15148248155954,2.00454254478399,-0.146939936775551,0.00799945732349843,-0.484901791359317,3.3,-0.00242407797681771,erosion (top-tail decline),-0.0169693249194818,-0.0225675068703839,-0.0113711429685797,0.327365615072353,0.13225506291476,0.522476167229945
Topeka,5,1990,2023,0.0226257428872498,0.0329951211801896,-0.0103693782929399,0.719637802950477,0.0781039646996881,-0.641533838250789,-0.0342189483667015,-2.1170616662276,3.3,0.0103693782929399,uplift (bottom-tail greening),-0.0106334565629847,-0.0162316385138868,-0.00503527461208255,0.323447426382299,0.128336874224707,0.518557978539892
Tucson,5,1990,2023,0.000260418009669648,-0.00263929969328422,0.00289971770295387,1.85142531726406,1.82567885486706,-0.0257464623970005,0.00956906841974776,-0.0849633259101017,3.3,0.00237888168361457,uplift (bottom-tail greening),-0.0353169653649317,-0.0409151473158338,-0.0297187834140296,0.67246852141666,0.477357969259068,0.867579073574253
TwinCities,5,1990,2023,0.00396084147159095,0.0151039043252874,-0.0111430628536964,1.5568056227022,1.19544557004906,-0.361360052653139,-0.0367721074171981,-1.19248817375536,3.3,0.0111430628536964,uplift (bottom-tail greening),0.00576430561517992,0.000166123664277811,0.011362487566082,0.0569560140753193,-0.138154538082273,0.252066566232912
WashingtonDC,5,1990,2023,-0.0463809162523668,0.0188474655135829,-0.0652283817659497,-0.294671435763815,-1.41789595376818,-1.12322451800437,-0.215253659827634,-3.70664090941441,3.3,-0.0275334507387839,erosion (top-tail decline),-0.0490441112840115,-0.0546422932349137,-0.0434459293331094,0.302019392408512,0.10690884025092,0.497129944566105
Wichita,5,1990,2023,0.0212630768072814,0.0127394110631202,0.00852366574416116,1.53652398562976,1.58302366429672,0.0464996786669603,0.0281280969557318,0.153448939600969,3.3,-0.00852366574416116,erosion (top-tail decline),-0.00701861810960587,-0.012616800060508,-0.00142043615870376,0.265268150259591,0.0701575981019983,0.460378702417183
